page_id,text,label,category,encoded_category
879,I would like to join Backstage Pass & agree to the Terms & Conditions & to receive emails & other promotional offers.,1,Forced Action,0
927,"Be part of the best family ever & enjoy 15% in VIP Benefits on every order, every day. That's 10% Instant Savings plus 5% back in Rewards Cash on everything. Plus, enjoy 90 days to test run your shoes, socks, and insoles. And so much more! Join today for just $1.99 your first year.  ",1,Sneaking,5
533,Activate within 0:30:00,1,Urgency,7
94,4 people have purchased this item,1,Social Proof,6
1554,Only 3 available,1,Scarcity,4
668,00:15:07:45,1,Urgency,7
887,Purchase Benefit Club Member can cancel the Purchase Benefits at any time by calling MDG’s Customer Service department at: 1-800-906-0975 ext. 352 and requesting to cancel the Purchase Benefits.,1,Obstruction,3
879,I would like to join Backstage Pass & agree to the Terms & Conditions & to receive emails & other promotional offers.,1,Forced Action,0
1458,Only 1 piece left.,1,Scarcity,4
374,"NO, I'LL PAY FULL PRICE",1,Misdirection,1
913,Merchandise: $69.99iService Charge: $14.99 Total Before Tax: $84.98 Estimated Tax:$5.63Order Total: $90.61,1,Sneaking,5
1766,Shipping Insurance Remove Insurance,1,Sneaking,5
148,7 users have looked at this product in the past 6 minutes,1,Social Proof,6
879,I would like to join Backstage Pass & agree to the Terms & Conditions & to receive emails & other promotional offers.,1,Forced Action,0
164,"Mher from San Angelo, TX Recently made a purchase with Crossrope",1,Social Proof,6
1039,ON SALE: Select Seasonal T-Shirts only $19.99! Limited time only! Save Now!,1,Urgency,7
1143,Only 1 Left in Stock!,1,Scarcity,4
397,"I DON'T LIKE FREE GIFTS, NO THANKS",1,Misdirection,1
1463,"ONLY 5 LEFT, ORDER SOON!",1,Scarcity,4
1658,View All Bearings,0,Not Dark Pattern,2
1801,Order without free membership $69.95,1,Misdirection,1
